service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MS,1,1,1,1,1,1,0,20100101,20201231
SUN,0,0,0,0,0,0,1,20100101,20201231
HOL,0,0,0,0,0,0,1,20100101,20201231
SH,0,0,0,0,0,0,1,20100101,20201231
SAT,0,0,0,0,0,1,0,20100101,20201231
MF,1,1,1,1,1,0,0,20100101,20201231
SAT&HOL,0,0,0,0,0,1,0,20100101,20201231
MF&HOL,1,1,1,1,1,0,0,20100101,20201231
MS&HOL,1,1,1,1,1,1,0,20100101,20201231
FW,1,1,1,1,1,1,1,20100101,20201231
SAT/SH,0,0,0,0,0,1,1,20100101,20201231
SUN/HOL,0,0,0,0,0,0,1,20100101,20201231
FH,0,0,0,0,1,0,0,20100101,20201231
SAT/HOL,0,0,0,0,0,1,0,20100101,20201231
S/H,0,0,0,0,0,0,1,20100101,20201231
SAT/SUN/HOL,0,0,0,0,0,1,1,20100101,20201231
2nd&4thSAT&HOL,0,0,0,0,0,1,0,20100101,20201231
1st&3rd&5thSAT,0,0,0,0,0,1,0,20100101,20201231
