service_id,date,exception_type
MS,20180126,2
MS,20180214,2
MS,20180219,2
MS,20180302,2
MS,20180318,2
MS,20180325,2
MS,20180329,2
MS,20180330,2
MS,20180414,2
MS,20180430,2
MS,20180714,2
MS,20180815,2
MS,20180817,2
MS,20180822,2
MS,20180913,2
MS,20190921,2
MS,20181002,2
MS,20181019,2
MS,20181107,2
MS,20181108,2
MS,20181224,2
MS,20181225,2
SUN,20180126,2
SUN,20180214,2
SUN,20180219,2
SUN,20180302,2
SUN,20180318,2
SUN,20180325,2
SUN,20180329,2
SUN,20180330,2
SUN,20180414,2
SUN,20180430,2
SUN,20180714,2
SUN,20180815,2
SUN,20180817,2
SUN,20180822,2
SUN,20180913,2
SUN,20190921,2
SUN,20181002,2
SUN,20181019,2
SUN,20181107,2
SUN,20181108,2
SUN,20181224,2
SUN,20181225,2
HOL,20180126,1
HOL,20180214,1
HOL,20180219,1
HOL,20180302,1
HOL,20180318,1
HOL,20180325,1
HOL,20180329,1
HOL,20180330,1
HOL,20180414,1
HOL,20180430,1
HOL,20180714,1
HOL,20180815,1
HOL,20180817,1
HOL,20180822,1
HOL,20180913,1
HOL,20190921,1
HOL,20181002,1
HOL,20181019,1
HOL,20181107,1
HOL,20181108,1
HOL,20181224,1
HOL,20181225,1
SH,20150104,1
SH,20150126,1
SH,20150217,1
SH,20150219,1
SH,20150306,1
SH,20150321,1
SH,20150328,1
SH,20150402,1
SH,20150403,1
SH,20150414,1
SH,20150501,1
SH,20150504,1
SH,20150718,1
SH,20150815,1
SH,20150518,1
SH,20150917,1
SH,20150925,1
SH,20151002,1
SH,20151022,1
SH,20151024,1
SH,20151111,1
SH,20151112,1
SH,20151224,1
SH,20151225,1
SAT,20150104,2
SAT,20150126,2
SAT,20150217,2
SAT,20150219,2
SAT,20150306,2
SAT,20150321,2
SAT,20150328,2
SAT,20150402,2
SAT,20150403,2
SAT,20150414,2
SAT,20150501,2
SAT,20150504,2
SAT,20150718,2
SAT,20150815,2
SAT,20150518,2
SAT,20150917,2
SAT,20150925,2
SAT,20151002,2
SAT,20151022,2
SAT,20151024,2
SAT,20151111,2
SAT,20151112,2
SAT,20151224,2
SAT,20151225,2
MF,20150104,2
MF,20150126,2
MF,20150217,2
MF,20150219,2
MF,20150306,2
MF,20150321,2
MF,20150328,2
MF,20150402,2
MF,20150403,2
MF,20150414,2
MF,20150501,2
MF,20150504,2
MF,20150718,2
MF,20150815,2
MF,20150518,2
MF,20150917,2
MF,20150925,2
MF,20151002,2
MF,20151022,2
MF,20151024,2
MF,20151111,2
MF,20151112,2
MF,20151224,2
MF,20151225,2
SAT&HOL,20150104,1
SAT&HOL,20150126,1
SAT&HOL,20150217,1
SAT&HOL,20150219,1
SAT&HOL,20150306,1
SAT&HOL,20150321,1
SAT&HOL,20150328,1
SAT&HOL,20150402,1
SAT&HOL,20150403,1
SAT&HOL,20150414,1
SAT&HOL,20150501,1
SAT&HOL,20150504,1
SAT&HOL,20150718,1
SAT&HOL,20150815,1
SAT&HOL,20150518,1
SAT&HOL,20150917,1
SAT&HOL,20150925,1
SAT&HOL,20151002,1
SAT&HOL,20151022,1
SAT&HOL,20151024,1
SAT&HOL,20151111,1
SAT&HOL,20151112,1
SAT&HOL,20151224,1
SAT&HOL,20151225,1
MF&HOL,20150104,1
MF&HOL,20150126,1
MF&HOL,20150217,1
MF&HOL,20150219,1
MF&HOL,20150306,1
MF&HOL,20150321,1
MF&HOL,20150328,1
MF&HOL,20150402,1
MF&HOL,20150403,1
MF&HOL,20150414,1
MF&HOL,20150501,1
MF&HOL,20150504,1
MF&HOL,20150718,1
MF&HOL,20150815,1
MF&HOL,20150518,1
MF&HOL,20150917,1
MF&HOL,20150925,1
MF&HOL,20151002,1
MF&HOL,20151022,1
MF&HOL,20151024,1
MF&HOL,20151111,1
MF&HOL,20151112,1
MF&HOL,20151224,1
MF&HOL,20151225,1
MS&HOL,20150104,1
MS&HOL,20150126,1
MS&HOL,20150217,1
MS&HOL,20150219,1
MS&HOL,20150306,1
MS&HOL,20150321,1
MS&HOL,20150328,1
MS&HOL,20150402,1
MS&HOL,20150403,1
MS&HOL,20150414,1
MS&HOL,20150501,1
MS&HOL,20150504,1
MS&HOL,20150718,1
MS&HOL,20150815,1
MS&HOL,20150518,1
MS&HOL,20150917,1
MS&HOL,20150925,1
MS&HOL,20151002,1
MS&HOL,20151022,1
MS&HOL,20151024,1
MS&HOL,20151111,1
MS&HOL,20151112,1
MS&HOL,20151224,1
MS&HOL,20151225,1
FW,20150104,2
FW,20150126,2
FW,20150217,2
FW,20150219,2
FW,20150306,2
FW,20150321,2
FW,20150328,2
FW,20150402,2
FW,20150403,2
FW,20150414,2
FW,20150501,2
FW,20150504,2
FW,20150718,2
FW,20150815,2
FW,20150518,2
FW,20150917,2
FW,20150925,2
FW,20151002,2
FW,20151022,2
FW,20151024,2
FW,20151111,2
FW,20151112,2
FW,20151224,2
FW,20151225,2
SAT/SH,20150104,1
SAT/SH,20150126,1
SAT/SH,20150217,1
SAT/SH,20150219,1
SAT/SH,20150306,1
SAT/SH,20150321,1
SAT/SH,20150328,1
SAT/SH,20150402,1
SAT/SH,20150403,1
SAT/SH,20150414,1
SAT/SH,20150501,1
SAT/SH,20150504,1
SAT/SH,20150718,1
SAT/SH,20150815,1
SAT/SH,20150518,1
SAT/SH,20150917,1
SAT/SH,20150925,1
SAT/SH,20151002,1
SAT/SH,20151022,1
SAT/SH,20151024,1
SAT/SH,20151111,1
SAT/SH,20151112,1
SAT/SH,20151224,1
SAT/SH,20151225,1
SUN/HOL,20150815,1
SUN/HOL,20150518,1
SUN/HOL,20150917,1
SUN/HOL,20150925,1
SUN/HOL,20151002,1
SUN/HOL,20151022,1
SUN/HOL,20151024,1
SUN/HOL,20151111,1
SUN/HOL,20151112,1
SUN/HOL,20151224,1
SUN/HOL,20151225,1
SUN/HOL,20150104,1
SUN/HOL,20150126,1
SUN/HOL,20150217,1
SUN/HOL,20150219,1
SUN/HOL,20150306,1
SUN/HOL,20150321,1
SUN/HOL,20150328,1
SUN/HOL,20150402,1
SUN/HOL,20150403,1
SUN/HOL,20150414,1
SUN/HOL,20150501,1
SUN/HOL,20150504,1
SUN/HOL,20150718,1
FH,20150104,1
FH,20150126,1
FH,20150217,1
FH,20150219,1
FH,20150306,1
FH,20150321,1
FH,20150328,1
FH,20150402,1
FH,20150403,1
FH,20150414,1
FH,20150501,1
FH,20150504,1
FH,20150718,1
FH,20150815,1
FH,20150518,1
FH,20150917,1
FH,20150925,1
FH,20151002,1
FH,20151022,1
FH,20151024,1
