stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
49,,BND RECLAMATION BUS STN.,,19.0479973563,72.8270317232,,0,,,
48,,UNIT TRUST OF INDIA,,19.0497416652,72.8282118951,,0,,,
47,,PARIJAT,,19.0509383316,72.8299714242,,0,,,
46,,AKSHAY,,19.0467094,72.8592389,,0,,,
919,,SIR ALIYAWAR JUNG INSTITUTE,,19.0520538604,72.8341985857,,0,,,
45,,TELEPHONE EXCHANGE,,19.0512020027,72.8358937418,,0,,,
2449,,MAHIM KOLIWADA,,19.0461851322,72.8383994742,,0,,,
2373,,MAHIM BUS STN.,,19.0432840233,72.8400750979,,0,,,
44,,MAHIM,,19.04012,72.84161,,0,,,
5189,,SHITALADEVI TEMPLE,,19.0347321062,72.8423390369,,0,,,
33,,SHITALADEVI TEMPLE,,19.0347321062,72.8423390369,,0,,,
32,,CITYLIGHT CINEMA,,19.0302593381,72.8417167644,,0,,,
3028,,RAM GANESH GADKARI CHK.,,19.0247053398,72.8406820723,,0,,,
3029,,RAM GANESH GADKARI CHK.,,19.025273336,72.8404460379,,0,,,
30,,VEER KOTWAL UDN. (PLAZA),,19.0216857288,72.842245956,,0,,,
29,,KHODADAD CIRCLE,,19.0165828703,72.8468455985,,0,,,
28,,CHITRA CINEMA,,19.0136151515,72.844661453,,0,,,
4357,,SHINDEWADI,,19.0107028727,72.8427454782,,0,,,
26,,HINDMATA CINEMA,,19.0083495266,72.8413721872,,0,,,
25,,MADKEBUWA CHK.,,19.0053063574,72.8396126581,,0,,,
24,,PAREL WORKSHOP,,19.0013298657,72.8378102136,,0,,,
23,,BHARATMATA CINEMA,,18.9966634532,72.8366944146,,0,,,
22,,SANT JAGNADE CHK.,,18.9910708053,72.8356901624,,0,,,
21,,SHANTARAM PUJARE CHK.,,18.9883104664,72.8358590082,,0,,,
20,,JAIHIND CINEMA,,18.9855509964,72.8356015161,,0,,,
5047,,JIJAMATA UDN.,,18.9821141251,72.8346024823,,0,,,
19,,JIJAMATA UDN.,,18.9772577915,72.8333380324,,0,,,
18,,BYCULLA STN(E),,18.9725501205,72.8331663711,,0,,,
3159,,A.H.ANSARI CHK.,,18.9701145153,72.8324946062,,0,,,
3160,,A.H.ANSARI CHK./ NEW NAGPADA,,18.967139193,72.8326984131,,0,,,
15,,DR.M.IQBAL CHK.,,18.9618113458,72.8320368584,,0,,,
14,,JOHAR CHK.,,18.9584832148,72.8317793664,,0,,,
13,,MINARA MASJID,,18.9569796797,72.8324043229,,0,,,
12,,ZAKERIA MASJID,,18.9530445124,72.8338805984,,0,,,
11,,CHAKLA MARKET,,18.9494286,72.8346616,,0,,,
3147,,MAHATMA PHULE MARKET,,18.9464951482,72.8352296966,,0,,,
10,,MAHATMA PHULE MARKET,,18.9451049251,72.8340495246,,0,,,
9,,CHH. SHIVAJI TERMINUS,,18.9409747781,72.8345966953,,0,,,
8,,KHADI BHANDAR,,18.9364462942,72.8338694154,,0,,,
897,,HUTATMA CHK. (SIDDHARTH COLLEGE),,18.9329958767,72.8315519869,,0,,,
6,,HUTATMA CHK./MUMBAI UNIVERSITY,,18.9280061692,72.8313447664,,0,,,
703,,DR.SHYAMAPRASAD MUKHERJI CHK./REGAL,,18.9235674747,72.8317803649,,0,,,
1119,,DR.SHYAMAPRASAD MUKHERJI CHK.,,18.9255817986,72.8328547271,,0,,,
5072,,HOLY NAME SCHOOL,,18.9159731255,72.825593892,,0,,,
4,,COLABA DEPOT,,18.9161355162,72.8271388444,,0,,,
3,,STRAND CINEMA,,18.9173370318,72.8273949847,,0,,,
2,,SASOON DOCK/COLABA FIRE STN.,,18.915655,72.825845,,0,,,
4835,,SASOON DOCK,,18.9140873797,72.823998701,,0,,,
41,,COLABA BUS STN.,,18.912522949,72.8224455882,,0,,,
2687,,COLABA BUS STN.,,18.9125744619,72.8231382846,,0,,,
3540,,COLABA BUS STN./POST OFFICE,,18.9116703775,72.8214156199,,0,,,
40,,AFGHAN CHURCH,,18.9062909571,72.8165447284,,0,,,
39,,PILOT BUNDER,,18.9038658512,72.8156280994,,0,,,
3454,,INS ASHWINI HOSPITAL,,18.9009425795,72.8144693851,,0,,,
37,,R.C.CHURCH,,18.8966184798,72.8114438533,,0,,,
5,,DR.SHYAMAPRASAD MUKHERJI CHK.,,18.9256313577,72.8318061063,,0,,,
3119,,HUTATMA CHK./MUMBAI UNIVERSITY,,18.9300934115,72.8297495424,,0,,,
896,,HUTATMA CHK. (SIDDHARTH COLLEGE),,18.933790825,72.8320904205,,0,,,
42,,KHADI BHANDAR,,18.9356910915,72.8334011266,,0,,,
